@id;@lat;@lon;name
1305087222;53.9223250;19.3547379;
1305100833;54.0298227;19.0326918;
1354571358;54.7936661;18.4046231;
1410269496;53.6655501;17.3622327;
2208134781;54.6193414;17.3697288;
2471715027;54.6150506;18.2140809;Naj Renk
2670041481;54.5845593;16.8627185;Targowisko Miejskie
3709277885;53.7219149;18.4911276;
3973084164;53.7571612;19.2081022;
4428954791;54.5226198;18.5341863;Hala Targowa
4861152342;54.1202399;17.9763152;Targowisko miejskie
88467289;;;Targowisko Miejskie Gdańsk-Wrzeszcz
94517943;;;Targowisko miejskie
97305463;;;Rynek Rumski
100351234;;;Hala Targowa "Pod Wieżą"
100479952;;;Targowisko Miejskie
102698534;;;Gulden
103769427;;;Hala Targowa "Polanki"
112974519;;;
127393819;;;
131585054;;;
132433731;;;Targowisko Hurtowe
147714767;;;Pomorska Hala Targowa
162498262;;;Targowisko Miejskie nr 8
169256229;;;Sopocki Rynek
172404412;;;CH "Manhattan"
179938669;;;Targowisko Leszczynki
207626794;;;Targowisko w Oliwie
223534655;;;
224531533;;;
226604842;;;
243961726;;;Giełda owocowo-warzywna
260899931;;;
301615093;;;Targowisko Miejskie
315670103;;;Targowisko Chylonia
341865759;;;Targowisko Zatorze
366776111;;;Targowisko miejskie
409026455;;;Hala targowa "Mój Rynek"
475142599;;;
477369303;;;
483298461;;;Rynek Elbląska
527361313;;;Gdańska Hala Targowa i Rynek Zielony
564125797;;;Naj Renk
564444774;;;
575250347;;;Giełda Samochodowa w Chwaszczynie
