@id;@lat;@lon;name
442337812;54.7622594;18.4975054;
442337912;54.7894122;18.4074750;
444751155;53.8856515;17.7183769;
444758779;54.1164101;17.8699764;
496274888;54.1328337;18.2018182;
583023445;53.6980155;17.5796897;PKO BP
757365386;54.0901956;18.7756034;
841219316;54.7634083;17.5565870;Euronet
841219321;54.7582789;17.5456583;BZ WBK
841219355;54.7579585;17.5584473;SGB
841257254;54.7613896;17.5540547;ECard
899414211;54.0081259;17.7689121;
935788096;54.4703000;17.0188000;Bankomat BZ WBK
935788183;54.5095000;18.5391000;Bankomat PKO
935788329;54.5114348;18.5388536;Bankomat Millennium
935788479;54.0963000;18.7684000;Bankomat Millennium
935788637;53.7323283;18.9418733;Bankomat Millennium
935788665;54.1189952;17.9687548;Bankomat Millennium
935788896;54.4266000;18.4904293;Bankomat BZ WBK
935789055;53.6949575;17.5618601;Bankomat Millennium
935789127;54.2119000;19.1170000;Bankomat Millennium
935789296;53.9822503;18.5305582;Bankomat Millennium
935789374;54.3766783;18.6146074;Bankomat BZ WBK
935789412;54.4086462;18.5564378;Bankomat Millennium
935789513;54.5687724;18.3903610;Bankomat Millennium
935789762;54.4735000;18.4749000;Bankomat BZ WBK
935790153;54.5210475;18.5353018;Bankomat Millennium
935790340;54.7991931;18.3942141;Bankomat Millennium
935790378;54.4014323;18.5748070;Bankomat Millennium
935790394;54.0985671;18.7647788;Bankomat Millennium
935790439;54.4025000;18.5833000;Bankomat BZ WBK
935790560;54.1228918;17.9761586;Bankomat BZ WBK
935790714;53.9702788;18.5292239;Bankomat Millennium
935790835;54.5342747;18.4470353;Bankomat Millennium
935790975;53.6641425;17.3578252;Bankomat BZ WBK
935791183;54.3566202;18.6515926;Bankomat BZ WBK
935791237;54.3278974;18.6145547;Bankomat BZ WBK
935791313;54.3971571;18.5956893;Bankomat Cash4You
935791342;54.4266308;18.4904214;Bankomat Millennium
935791352;54.0358970;19.0286349;Bankomat BZ WBK
935791387;54.3487724;18.6215407;Bankomat Millennium
935791963;54.3581000;18.6201000;Bankomat Cash4You
935792001;54.5210696;18.5377318;Bankomat BZ WBK
935792045;54.3558000;18.6452000;Bankomat Millennium
935792502;54.3514419;18.6410210;Bankomat Millennium
935792545;54.3508533;18.6467769;Bankomat
935792689;54.3901000;18.6090000;Bankomat Millennium
935793000;54.5470000;18.4541000;Bankomat BZ WBK
935793073;54.4966626;18.5433652;Millennium 24h
935793209;54.0368062;19.0345918;Bankomat Millennium
935793475;54.5212471;18.5299737;
935793601;54.3572100;18.5786159;Bankomat Millennium
935793622;54.4064507;18.6384442;Bankomat Millennium
935793678;54.3771859;18.6094130;Bankomat BZ WBK
935794102;53.9649874;18.5242186;Bankomat Cash4You
935794413;54.3523024;18.6466511;Bankomat Millennium
935794533;54.4091405;18.5671868;Bankomat BZ WBK
935794635;54.3658135;18.6266922;
935794857;54.5418452;18.4620921;Bankomat Millennium
935794999;54.4195871;18.5623929;Bankomat Millennium
935795081;54.4233869;18.5652016;Bankomat Millennium
935795085;54.6047000;18.2535000;Bankomat Millennium
935795239;54.3782060;18.6078978;Bankomat BZ WBK
935795417;53.9607394;18.5265122;Bankomat Millennium
935795452;54.4662752;17.0313382;Bankomat Cash4You
935795465;54.3819000;18.6001000;Bankomat Millennium
935795493;54.4013118;18.5747038;Bankomat Millennium
935795677;54.5508478;18.5093165;Bankomat Millennium
935795785;54.3533170;18.6573739;Euronet
935795803;54.2603295;18.6493848;Millennium
935795843;54.3507000;18.6498000;Bankomat Millennium
935795952;54.3371000;18.6202000;Bankomat BZ WBK
935796199;54.6029000;18.2411000;Bankomat Cash4You
935796201;54.4089000;18.5961000;Bankomat Millennium
935796274;54.4429060;18.5634104;Bankomat Millennium
935796305;54.0869523;18.7945243;Bankomat BZ WBK
